dataset,q,rep,global_success,pacs_success,delta_success,global_mean_size,pacs_mean_size,delta_mean_size,global_p90_size,pacs_p90_size,delta_p90_size
CIFAR-10H,0.7,6,0.9106666666666666,0.9746666666666668,0.06400000000000017,1.1043333333333334,1.7766666666666666,0.6723333333333332,2.0,3.0,1.0
CIFAR-10H,0.7,7,0.9113333333333332,0.9696666666666668,0.05833333333333357,1.1013333333333333,1.648,0.5466666666666666,2.0,3.0,1.0
CIFAR-10H,0.7,8,0.894,0.9713333333333334,0.07733333333333337,1.0786666666666669,1.8373333333333333,0.7586666666666664,1.0,3.0,2.0
CIFAR-10H,0.7,9,0.9003333333333333,0.9683333333333334,0.06800000000000006,1.087,1.7126666666666666,0.6256666666666666,1.0,3.0,2.0
CIFAR-10H,0.7,10,0.8976666666666666,0.9706666666666668,0.07300000000000018,1.0863333333333334,1.8363333333333332,0.7499999999999998,1.0,3.0,2.0
CIFAR-10H,0.7,11,0.8986666666666666,0.969,0.07033333333333336,1.0863333333333334,1.7353333333333334,0.649,1.0,3.0,2.0
CIFAR-10H,0.7,12,0.9073333333333332,0.973,0.06566666666666676,1.0843333333333334,1.885,0.8006666666666666,1.0,3.0,2.0
CIFAR-10H,0.7,13,0.9016666666666666,0.9713333333333334,0.06966666666666677,1.0856666666666666,1.655333333333333,0.5696666666666665,1.0,3.0,2.0
CIFAR-10H,0.7,14,0.9013333333333332,0.9736666666666668,0.07233333333333358,1.0996666666666666,1.8123333333333331,0.7126666666666666,1.0,3.0,2.0
CIFAR-10H,0.7,15,0.8973333333333333,0.9666666666666668,0.06933333333333347,1.088666666666667,1.792,0.7033333333333331,1.0,3.0,2.0
CIFAR-10H,0.7,16,0.8926666666666667,0.9716666666666668,0.07900000000000007,1.078,1.8226666666666669,0.7446666666666668,1.0,4.0,3.0
CIFAR-10H,0.7,17,0.9066666666666666,0.971,0.06433333333333335,1.1153333333333333,1.7796666666666667,0.6643333333333334,2.0,3.0,1.0
CIFAR-10H,0.7,18,0.9106666666666666,0.9753333333333334,0.06466666666666676,1.0896666666666666,1.899333333333333,0.8096666666666665,1.0,3.0,2.0
CIFAR-10H,0.7,19,0.8823333333333333,0.972,0.08966666666666667,1.0636666666666668,1.856666666666667,0.7930000000000001,1.0,3.0,2.0
